veh,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,LOST_PATIENCE
1,7.0,0.0,False,0,0,7762.0,90.0,0,194.0,0,395.0,0.0,210.0,1216.0,0,0,0,0,11732.0,1216.0,0.0,395.0,494.0,9627.0,14.204,341,3.41,1611.0,16.11,5.1255,1.0251,4.1004,3.95,7.36,0.36800000000000005,3.7323999999999997,False
2,8.0,0.0,False,0,0,10430.0,75.0,0,372.0,0,546.0,0.0,217.0,1703.0,0,0,0,0,8256.0,1703.0,0.0,546.0,664.0,5343.0,26.192,99,0.99,2249.0,22.490000000000002,1.4925,0.2985,1.194,5.46,6.45,0.3225,0.8714999999999999,False
3,7.0,0.0,False,0,0,1188.0,90.0,0,139.0,0,471.0,0.0,210.0,783.0,0,0,0,0,18718.0,783.0,0.0,471.0,439.0,17025.0,10.022,472,4.72,1254.0,12.540000000000001,7.086,1.4172000000000002,5.668800000000001,4.71,9.43,0.47150000000000003,5.197300000000001,False
4,7.0,0.0,False,0,0,12905.0,75.0,0,235.0,0,293.0,0.0,210.0,828.0,0,0,0,0,7053.0,828.0,0.0,293.0,520.0,5412.0,11.589,498,4.98,1121.0,11.21,7.474499999999999,1.4949,5.9796,2.93,7.91,0.3955,5.584099999999999,False
5,15.0,0.0,False,0,0,8559.0,137.0,0,608.0,0,1527.0,0.0,432.0,2972.0,0,0,0,0,7364.0,2972.0,0.0,1527.0,1177.0,1688.0,51.04,371,3.71,4499.0,44.99,5.5755,1.1151,4.4604,15.27,18.98,0.9490000000000001,3.5114,False
6,14.0,0.0,False,0,0,9398.0,118.0,0,666.0,0,1660.0,180.0,420.0,2199.0,0,0,0,0,6958.0,2199.0,180.0,1660.0,1204.0,1715.0,41.642,507,5.07,3859.0,38.59,7.605,1.5210000000000001,6.0840000000000005,16.6,21.67,1.0835000000000001,5.000500000000001,False
7,4.0,0.0,False,0,0,13528.0,45.0,0,71.0,0,156.0,0.0,120.0,467.0,0,0,0,0,7212.0,467.0,0.0,156.0,236.0,6353.0,5.358,132,1.32,623.0,6.23,1.983,0.39660000000000006,1.5864000000000003,1.56,2.88,0.144,1.4424000000000003,False
8,16.0,0.0,False,0,0,10485.0,180.0,0,273.0,0,1370.0,0.0,454.0,2324.0,0,0,0,0,6513.0,2324.0,0.0,1370.0,907.0,1912.0,32.465,401,4.01,3694.0,36.94,6.017999999999999,1.2035999999999998,4.814399999999999,13.700000000000001,17.71,0.8855000000000001,3.928899999999999,False
9,16.0,0.0,False,0,0,9197.0,135.0,0,550.0,0,1538.0,0.0,480.0,2736.0,0,0,0,0,6963.0,2736.0,0.0,1538.0,1165.0,1524.0,47.094,562,5.62,4274.0,42.74,8.4405,1.6881000000000002,6.752400000000001,15.38,21.0,1.05,5.702400000000001,False
10,18.0,0.0,False,0,0,8213.0,165.0,0,568.0,0,1174.0,0.0,540.0,2659.0,0,0,0,0,8280.0,2659.0,0.0,1174.0,1273.0,3174.0,41.714,616,6.16,3833.0,38.33,9.253499999999999,1.8506999999999998,7.402799999999999,11.74,17.9,0.895,6.5078,False
11,11.0,0.0,False,0,0,9976.0,105.0,0,374.0,0,1266.0,0.0,330.0,2187.0,0,0,0,0,7361.0,2187.0,0.0,1266.0,809.0,3099.0,36.225,394,3.94,3453.0,34.53,5.9205000000000005,1.1841000000000002,4.736400000000001,12.66,16.6,0.8300000000000001,3.9064000000000005,False
12,8.0,0.0,False,0,0,9104.0,105.0,0,213.0,0,604.0,0.0,240.0,698.0,0,0,0,0,10635.0,698.0,0.0,604.0,558.0,8775.0,8.407,201,2.01,1302.0,13.02,3.021,0.6042000000000001,2.4168000000000003,6.04,8.05,0.4025000000000001,2.0143000000000004,False
13,1.0,0.0,False,0,0,610.0,15.0,0,20.0,0,36.0,0.0,30.0,236.0,0,0,0,0,20652.0,236.0,0.0,36.0,65.0,20315.0,2.362,404,4.04,272.0,2.72,6.073500000000001,1.2147000000000003,4.858800000000001,0.36,4.4,0.22000000000000003,4.638800000000002,False
14,8.0,0.0,False,0,0,9189.0,120.0,0,105.0,0,200.0,0.0,240.0,1269.0,0,0,0,0,10476.0,1269.0,0.0,200.0,465.0,8542.0,12.719,182,1.82,1469.0,14.69,2.739,0.5478,2.1912,2.0,3.8200000000000003,0.19100000000000003,2.0002,False
15,14.0,0.0,False,0,0,8689.0,165.0,0,385.0,0,1310.0,180.0,420.0,2985.0,0,0,0,0,7465.0,2985.0,180.0,1310.0,970.0,2020.0,41.637,266,2.66,4295.0,42.95,3.9975,0.7995000000000001,3.1980000000000004,13.1,15.76,0.788,2.41,False
16,16.0,0.0,False,0,0,8223.0,142.0,0,482.0,0,940.0,0.0,461.0,2782.0,0,0,0,0,8569.0,2782.0,0.0,940.0,1085.0,3762.0,39.015,102,1.02,3722.0,37.22,1.536,0.30720000000000003,1.2288000000000001,9.4,10.42,0.521,0.7078000000000001,False
17,14.0,0.0,False,0,0,9750.0,135.0,0,458.0,0,1201.0,0.0,420.0,2705.0,0,0,0,0,6930.0,2705.0,0.0,1201.0,1013.0,2011.0,42.179,318,3.18,3906.0,39.06,4.773,0.9546,3.8184,12.01,15.19,0.7595000000000001,3.0589,False
18,14.0,0.0,False,0,0,9927.0,150.0,0,456.0,0,1187.0,75.0,404.0,2301.0,0,0,0,0,7099.0,2301.0,75.0,1187.0,1010.0,2526.0,36.276,190,1.9,3488.0,34.88,2.8529999999999998,0.5706,2.2824,11.870000000000001,13.770000000000001,0.6885000000000001,1.5938999999999999,False
19,7.0,0.0,False,0,0,7419.0,60.0,0,448.0,0,10263.0,0.0,210.0,766.0,0,0,0,0,2433.0,766.0,0.0,10263.0,718.0,-9314.0,16.611,45,0.45,11029.0,110.29,0.678,0.13560000000000003,0.5424000000000001,102.63,103.08,5.154,-4.6116,False
20,10.0,0.0,False,0,0,10432.0,90.0,0,337.0,0,1127.0,0.0,288.0,1795.0,0,0,0,0,7530.0,1795.0,0.0,1127.0,715.0,3893.0,28.17,28,0.28,2922.0,29.22,0.42299999999999993,0.0846,0.3384,11.27,11.549999999999999,0.5775,-0.23910000000000003,False
21,14.0,0.0,False,0,0,10144.0,180.0,0,334.0,0,853.0,0.0,420.0,1641.0,0,0,0,0,8027.0,1641.0,0.0,853.0,934.0,4599.0,19.954,368,3.68,2494.0,24.94,5.5200000000000005,1.104,4.416,8.53,12.209999999999999,0.6105,3.8055000000000003,False
22,12.0,0.0,False,0,0,9622.0,120.0,0,551.0,0,1060.0,0.0,341.0,3095.0,0,0,0,0,6810.0,3095.0,0.0,1060.0,1012.0,1643.0,41.562,278,2.78,4155.0,41.550000000000004,4.1835,0.8367000000000001,3.3468000000000004,10.6,13.379999999999999,0.669,2.6778000000000004,False
23,14.0,0.0,False,0,0,9174.0,165.0,0,224.0,0,1345.0,0.0,412.0,2903.0,0,0,0,0,7376.0,2903.0,0.0,1345.0,801.0,2327.0,37.803,389,3.89,4248.0,42.480000000000004,5.847,1.1694000000000002,4.677600000000001,13.450000000000001,17.34,0.867,3.810600000000001,False
24,7.0,0.0,False,0,0,2534.0,45.0,0,311.0,0,522.0,0.0,210.0,1122.0,0,0,0,0,16855.0,1122.0,0.0,522.0,566.0,14645.0,21.883,236,2.36,1644.0,16.44,3.543,0.7086000000000001,2.8344000000000005,5.22,7.58,0.379,2.4554000000000005,False
25,11.0,0.0,False,0,0,8360.0,150.0,0,579.0,0,1061.0,0.0,330.0,2724.0,0,0,0,0,0.0,2724.0,0.0,1061.0,1059.0,-4844.0,35.315,157,1.57,3785.0,37.85,2.358,0.4716,1.8864,10.61,12.18,0.609,1.2774,False
26,11.0,0.0,False,0,0,10239.0,120.0,0,420.0,0,1078.0,0.0,329.0,2408.0,0,0,0,0,7005.0,2408.0,0.0,1078.0,869.0,2650.0,32.065,85,0.85,3486.0,34.86,1.2795,0.2559,1.0236,10.78,11.629999999999999,0.5815,0.44210000000000005,False
27,10.0,0.0,False,0,0,11977.0,75.0,0,263.0,0,492.0,0.0,288.0,1431.0,0,0,0,0,7073.0,1431.0,0.0,492.0,626.0,4524.0,23.868,10,0.1,1923.0,19.23,0.1545,0.0309,0.1236,4.92,5.02,0.251,-0.1274,False
