veh,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,LOST_PATIENCE
1,10.0,0.0,False,0,0,9072.0,87.0,0,300.0,0,1313.0,180.0,300.0,2389.0,0,0,0,0,7958.0,2389.0,180.0,1313.0,687.0,3389.0,36.642,146,1.46,3702.0,37.02,2.2005,0.4401,1.7604,13.13,14.59,0.7295,1.0309,False
2,8.0,0.0,False,0,0,4883.0,68.0,0,277.0,0,621.0,0.0,240.0,1546.0,0,0,0,0,13964.0,1546.0,0.0,621.0,585.0,11212.0,22.496,204,2.04,2167.0,21.67,3.0614999999999997,0.6123,2.4492,6.21,8.25,0.41250000000000003,2.0366999999999997,False
3,12.0,0.0,False,0,0,7336.0,131.0,0,172.0,0,860.0,0.0,358.0,2186.0,0,0,0,0,10556.0,2186.0,0.0,860.0,661.0,6849.0,27.244,279,2.79,3046.0,30.46,4.1955,0.8391000000000001,3.3564000000000003,8.6,11.39,0.5695,2.7869,False
4,11.0,0.0,False,0,0,9708.0,75.0,0,374.0,0,641.0,180.0,322.0,1875.0,0,0,0,0,8424.0,1875.0,180.0,641.0,771.0,4957.0,33.45,399,3.99,2516.0,25.16,5.9895,1.1979,4.7916,6.41,10.4,0.52,4.271599999999999,False
5,0.0,0.0,False,0,0,215.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,21384.0,0.0,0.0,0.0,0.0,21384.0,0.0,390,3.9,0.0,0.0,5.856,1.1712,4.6848,0.0,3.9,0.195,4.4898,True
6,10.0,0.0,False,0,0,10151.0,120.0,0,475.0,0,807.0,0.0,300.0,2310.0,0,0,0,0,7436.0,2310.0,0.0,807.0,895.0,3424.0,28.867,301,3.01,3117.0,31.17,4.524,0.9048,3.6192,8.07,11.08,0.554,3.0652,False
7,12.0,0.0,False,0,0,7783.0,135.0,0,338.0,0,848.0,0.0,360.0,2658.0,0,0,0,0,9477.0,2658.0,0.0,848.0,833.0,5138.0,33.956,128,1.28,3506.0,35.06,1.929,0.38580000000000003,1.5432000000000001,8.48,9.76,0.488,1.0552000000000001,False
8,2.0,0.0,False,0,0,9015.0,15.0,0,394.0,0,10144.0,0.0,60.0,299.0,0,0,0,0,1672.0,299.0,0.0,10144.0,469.0,-9240.0,9.358,126,1.26,10443.0,104.43,1.899,0.3798,1.5192,101.44,102.7,5.135000000000001,-3.6158000000000006,False
9,15.0,0.0,False,0,0,9279.0,135.0,0,934.0,0,1162.0,0.0,450.0,2371.0,0,0,0,0,7268.0,2371.0,0.0,1162.0,1519.0,2216.0,42.608,343,3.43,3533.0,35.33,5.1525,1.0305,4.122,11.620000000000001,15.05,0.7525000000000001,3.3695,False
10,2.0,0.0,False,0,0,2629.0,30.0,0,40.0,0,194.0,0.0,60.0,215.0,0,0,0,0,18431.0,215.0,0.0,194.0,130.0,17892.0,2.161,224,2.24,409.0,4.09,3.3660000000000005,0.6732000000000001,2.6928000000000005,1.94,4.18,0.209,2.4838000000000005,False
