veh,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,LOST_PATIENCE
1,0.0,0.0,False,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,21599.0,0.0,0.0,0.0,0.0,21599.0,0.0,388,3.88,0.0,0.0,5.8335,1.1667,4.6668,0.0,3.88,0.194,4.4728,True
2,21.0,0.0,False,0,0,7569.0,195.0,0,588.0,0,2319.0,0.0,627.0,3627.0,0,0,0,0,6674.0,3627.0,0.0,2319.0,1410.0,-682.0,53.239,449,4.49,5946.0,59.46,6.7364999999999995,1.3473,5.3892,23.19,27.68,1.3840000000000001,4.005199999999999,False
3,7.0,0.0,False,0,0,12621.0,75.0,0,296.0,0,476.0,0.0,210.0,892.0,0,0,0,0,7029.0,892.0,0.0,476.0,581.0,5080.0,14.368,379,3.79,1368.0,13.68,5.6850000000000005,1.1370000000000002,4.548000000000001,4.76,8.55,0.42750000000000005,4.120500000000001,False
4,15.0,0.0,False,0,0,8894.0,157.0,0,240.0,0,1376.0,0.0,450.0,3136.0,0,0,0,0,7346.0,3136.0,0.0,1376.0,847.0,1987.0,40.004,174,1.74,4512.0,45.12,2.616,0.5232,2.0928,13.76,15.5,0.775,1.3178,False
5,9.0,0.0,False,0,0,8703.0,75.0,0,558.0,0,600.0,0.0,270.0,1800.0,0,0,0,0,0.0,1800.0,0.0,600.0,903.0,-3303.0,38.101,258,2.58,2400.0,24.0,3.8805000000000005,0.7761000000000001,3.1044000000000005,6.0,8.58,0.42900000000000005,2.6754000000000007,False
6,18.0,0.0,False,0,0,8303.0,196.0,0,395.0,0,1607.0,0.0,540.0,3402.0,0,0,0,0,7156.0,3402.0,0.0,1607.0,1131.0,1016.0,44.906,394,3.94,5009.0,50.09,5.9115,1.1823000000000001,4.7292000000000005,16.07,20.01,1.0005000000000002,3.7287000000000003,False
7,10.0,0.0,False,0,0,11451.0,105.0,0,410.0,0,816.0,0.0,300.0,1589.0,0,0,0,0,6928.0,1589.0,0.0,816.0,815.0,3708.0,24.522,29,0.29,2405.0,24.05,0.43799999999999994,0.0876,0.3504,8.16,8.45,0.4225,-0.0721,False
8,14.0,0.0,False,0,0,7843.0,135.0,0,505.0,0,760.0,0.0,420.0,2100.0,0,0,0,0,9836.0,2100.0,0.0,760.0,1060.0,5916.0,31.569,197,1.97,2860.0,28.6,2.961,0.5922,2.3688,7.6000000000000005,9.57,0.47850000000000004,1.8902999999999999,False
9,4.0,0.0,False,0,0,4615.0,45.0,0,118.0,0,175.0,0.0,120.0,659.0,0,0,0,0,15867.0,659.0,0.0,175.0,283.0,14750.0,9.31,427,4.27,834.0,8.34,6.414,1.2828,5.1312,1.75,6.02,0.301,4.8302,False
10,23.0,0.0,False,0,0,7191.0,195.0,0,781.0,0,1942.0,0.0,689.0,3102.0,0,0,0,0,7699.0,3102.0,0.0,1942.0,1665.0,990.0,55.522,171,1.71,5044.0,50.44,2.577,0.5154,2.0616,19.42,21.130000000000003,1.0565000000000002,1.0050999999999997,False
