veh,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,LOST_PATIENCE
1,12.0,0.0,False,0,0,6499.0,105.0,0,439.0,0,1154.0,0.0,360.0,2045.0,0,0,0,0,10997.0,2045.0,0.0,1154.0,904.0,6894.0,31.393,254,2.54,3199.0,31.990000000000002,3.8145000000000002,0.7629000000000001,3.0516000000000005,11.540000000000001,14.080000000000002,0.7040000000000002,2.3476000000000004,False
2,15.0,0.0,False,0,0,6567.0,124.0,0,615.0,0,1400.0,0.0,450.0,2467.0,0,0,0,0,9976.0,2467.0,0.0,1400.0,1189.0,4920.0,39.212,218,2.18,3867.0,38.67,3.2805,0.6561,2.6244,14.0,16.18,0.809,1.8154,False
3,8.0,0.0,False,0,0,4221.0,50.0,0,286.0,0,484.0,180.0,240.0,2021.0,0,0,0,0,14117.0,2021.0,180.0,484.0,576.0,10856.0,32.103,179,1.79,2505.0,25.05,2.685,0.537,2.148,4.84,6.63,0.3315,1.8165,False
4,14.0,0.0,False,0,0,8818.0,150.0,0,485.0,0,1332.0,0.0,393.0,3014.0,0,0,0,0,7407.0,3014.0,0.0,1332.0,1028.0,2033.0,41.864,496,4.96,4346.0,43.46,7.4535,1.4907000000000001,5.9628000000000005,13.32,18.28,0.9140000000000001,5.0488,False
5,5.0,0.0,False,0,0,9278.0,45.0,0,273.0,0,10245.0,0.0,150.0,861.0,0,0,0,0,747.0,861.0,0.0,10245.0,468.0,-10827.0,11.167,169,1.69,11106.0,111.06,2.5395000000000003,0.5079000000000001,2.0316000000000005,102.45,104.14,5.207000000000001,-3.1754000000000002,False
6,17.0,0.0,False,0,0,7839.0,180.0,0,683.0,0,1607.0,0.0,486.0,3581.0,0,0,0,0,7223.0,3581.0,0.0,1607.0,1349.0,686.0,51.056,260,2.6,5188.0,51.88,3.9029999999999996,0.7806,3.1224,16.07,18.67,0.9335000000000001,2.1889,False
7,9.0,0.0,False,0,0,8959.0,77.0,0,368.0,0,895.0,0.0,270.0,1793.0,0,0,0,0,9237.0,1793.0,0.0,895.0,715.0,5834.0,28.81,545,5.45,2688.0,26.88,8.182500000000001,1.6365000000000003,6.546000000000001,8.950000000000001,14.400000000000002,0.7200000000000002,5.8260000000000005,False
8,0.0,0.0,False,0,0,494.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,21105.0,0.0,0.0,0.0,0.0,21105.0,0.0,384,3.84,0.0,0.0,5.7735,1.1547,4.6188,0.0,3.84,0.192,4.4268,True
9,11.0,0.0,False,0,0,6967.0,135.0,0,285.0,0,635.0,0.0,330.0,2249.0,0,0,0,0,10998.0,2249.0,0.0,635.0,750.0,7364.0,28.785,296,2.96,2884.0,28.84,4.4505,0.8901,3.5604,6.3500000000000005,9.31,0.4655,3.0949,False
10,7.0,0.0,False,0,0,10228.0,105.0,0,130.0,0,404.0,0.0,210.0,1136.0,0,0,0,0,9386.0,1136.0,0.0,404.0,445.0,7401.0,11.383,271,2.71,1540.0,15.4,4.0785,0.8157000000000001,3.2628000000000004,4.04,6.75,0.3375,2.9253000000000005,False
