veh,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,LOST_PATIENCE
1,13.0,0.0,False,0,0,8180.0,135.0,0,532.0,0,1475.0,0.0,390.0,2836.0,0,0,0,0,8051.0,2836.0,0.0,1475.0,1057.0,2683.0,40.713,311,3.11,4311.0,43.11,4.6754999999999995,0.9350999999999999,3.7403999999999997,14.75,17.86,0.893,2.8473999999999995,False
2,0.0,0.0,False,0,0,1415.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,20184.0,0.0,0.0,0.0,0.0,20184.0,0.0,136,1.36,0.0,0.0,2.0535,0.41070000000000007,1.6428000000000003,0.0,1.36,0.068,1.5748000000000002,True
3,16.0,0.0,False,0,0,7457.0,123.0,0,798.0,0,1796.0,0.0,480.0,4429.0,0,0,0,0,6516.0,4429.0,0.0,1796.0,1401.0,-1110.0,60.742,376,3.76,6225.0,62.25,5.643,1.1286,4.5144,17.96,21.72,1.086,3.4284,False
4,13.0,0.0,False,0,0,9612.0,105.0,0,416.0,0,818.0,180.0,390.0,2656.0,0,0,0,0,7422.0,2656.0,180.0,818.0,911.0,2857.0,42.25,261,2.61,3474.0,34.74,3.921,0.7842,3.1368,8.18,10.79,0.5395,2.5973,False
5,15.0,0.0,False,0,0,8309.0,165.0,0,545.0,0,1586.0,0.0,431.0,2447.0,0,0,0,0,8116.0,2447.0,0.0,1586.0,1141.0,2942.0,35.2,440,4.4,4033.0,40.33,6.6135,1.3227000000000002,5.290800000000001,15.860000000000001,20.26,1.0130000000000001,4.277800000000001,False
6,7.0,0.0,False,0,0,10714.0,90.0,0,142.0,0,552.0,0.0,210.0,1000.0,0,0,0,0,8891.0,1000.0,0.0,552.0,442.0,6897.0,12.966,423,4.23,1552.0,15.52,6.352500000000001,1.2705000000000002,5.082000000000001,5.5200000000000005,9.75,0.48750000000000004,4.594500000000001,False
7,25.0,0.0,False,0,0,5748.0,210.0,0,865.0,0,2170.0,0.0,696.0,4531.0,0,0,0,0,7379.0,4531.0,0.0,2170.0,1771.0,-1093.0,77.694,228,2.28,6701.0,67.01,3.423,0.6846000000000001,2.7384000000000004,21.7,23.98,1.199,1.5394000000000003,False
8,14.0,0.0,False,0,0,9903.0,120.0,0,382.0,0,1529.0,0.0,420.0,2038.0,0,0,0,0,7207.0,2038.0,0.0,1529.0,922.0,2718.0,41.88,439,4.39,3567.0,35.67,6.584999999999999,1.317,5.268,15.290000000000001,19.68,0.984,4.284,False
9,8.0,0.0,False,0,0,12291.0,90.0,0,262.0,0,260.0,0.0,240.0,1500.0,0,0,0,0,6956.0,1500.0,0.0,260.0,592.0,4604.0,21.324,476,4.76,1760.0,17.6,7.141500000000001,1.4283000000000001,5.7132000000000005,2.6,7.359999999999999,0.368,5.3452,False
10,3.0,0.0,False,0,0,3542.0,45.0,0,60.0,0,10157.0,0.0,90.0,456.0,0,0,0,0,7249.0,456.0,0.0,10157.0,195.0,-3559.0,4.579,127,1.27,10613.0,106.13,1.9140000000000001,0.38280000000000003,1.5312000000000001,101.57000000000001,102.84,5.142,-3.6108000000000002,False
11,3.0,0.0,False,0,0,13713.0,30.0,0,201.0,0,375.0,0.0,90.0,540.0,0,0,0,0,6650.0,540.0,0.0,375.0,321.0,5414.0,8.13,381,3.81,915.0,9.15,5.715,1.143,4.572,3.75,7.5600000000000005,0.37800000000000006,4.194,False
12,12.0,0.0,False,0,0,11178.0,135.0,0,353.0,0,920.0,0.0,360.0,1737.0,0,0,0,0,6916.0,1737.0,0.0,920.0,848.0,3411.0,28.199,33,0.33,2657.0,26.57,0.501,0.10020000000000001,0.40080000000000005,9.200000000000001,9.530000000000001,0.4765000000000001,-0.07570000000000005,False
13,18.0,0.0,False,0,0,7807.0,135.0,0,578.0,0,1143.0,0.0,471.0,2946.0,0,0,0,0,8519.0,2946.0,0.0,1143.0,1184.0,3246.0,48.822,176,1.76,4089.0,40.89,2.652,0.5304000000000001,2.1216000000000004,11.43,13.19,0.6595,1.4621000000000004,False
14,11.0,0.0,False,0,0,6375.0,105.0,0,650.0,0,1239.0,0.0,330.0,2338.0,0,0,0,0,10562.0,2338.0,0.0,1239.0,1085.0,5900.0,36.655,345,3.45,3577.0,35.77,5.1885,1.0377,4.1508,12.39,15.84,0.792,3.3588000000000005,False
15,12.0,0.0,False,0,0,10058.0,105.0,0,367.0,0,681.0,0.0,360.0,2337.0,0,0,0,0,7691.0,2337.0,0.0,681.0,832.0,3841.0,31.749,151,1.51,3018.0,30.18,2.2725,0.4545,1.818,6.8100000000000005,8.32,0.41600000000000004,1.4020000000000001,False
16,10.0,0.0,False,0,0,11512.0,76.0,0,291.0,0,519.0,0.0,300.0,1234.0,0,0,0,0,7667.0,1234.0,0.0,519.0,667.0,5247.0,21.435,72,0.72,1753.0,17.53,1.0875,0.2175,0.87,5.19,5.91,0.29550000000000004,0.5745,False
17,12.0,0.0,False,0,0,10704.0,150.0,0,265.0,0,844.0,0.0,355.0,2373.0,0,0,0,0,6908.0,2373.0,0.0,844.0,770.0,2921.0,28.806,248,2.48,3217.0,32.17,3.7230000000000003,0.7446000000000002,2.9784000000000006,8.44,10.92,0.546,2.4324000000000003,False
18,15.0,0.0,False,0,0,9390.0,120.0,0,653.0,0,1062.0,0.0,450.0,3264.0,0,0,0,0,6660.0,3264.0,0.0,1062.0,1223.0,1111.0,55.51,77,0.77,4326.0,43.26,1.158,0.2316,0.9264,10.620000000000001,11.39,0.5695,0.3569,False
19,3.0,0.0,False,0,0,10141.0,30.0,0,82.0,0,230.0,0.0,90.0,639.0,0,0,0,0,10387.0,639.0,0.0,230.0,202.0,9316.0,9.024,148,1.48,869.0,8.69,2.2215000000000003,0.4443000000000001,1.7772000000000003,2.3000000000000003,3.7800000000000002,0.18900000000000003,1.5882000000000003,False
20,4.0,0.0,False,0,0,4052.0,30.0,0,123.0,0,327.0,0.0,120.0,665.0,0,0,0,0,16282.0,665.0,0.0,327.0,273.0,15017.0,13.062,456,4.56,992.0,9.92,6.84,1.368,5.472,3.27,7.83,0.3915,5.080500000000001,False
