veh,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,LOST_PATIENCE
1,8.0,0.0,False,0,0,5864.0,90.0,0,490.0,0,1018.0,0.0,240.0,1626.0,0,0,0,0,12271.0,1626.0,0.0,1018.0,820.0,8807.0,23.281,153,1.53,2644.0,26.44,2.2965,0.45930000000000004,1.8372000000000002,10.18,11.709999999999999,0.5855,1.2517,False
2,9.0,0.0,False,0,0,11625.0,105.0,0,184.0,0,602.0,0.0,270.0,1542.0,0,0,0,0,7271.0,1542.0,0.0,602.0,559.0,4568.0,19.02,364,3.64,2144.0,21.44,5.464499999999999,1.0929,4.3716,6.0200000000000005,9.66,0.48300000000000004,3.8886,False
3,13.0,0.0,False,0,0,10150.0,165.0,0,451.0,0,754.0,180.0,390.0,2423.0,0,0,0,0,7086.0,2423.0,180.0,754.0,1006.0,2723.0,31.125,220,2.2,3177.0,31.77,3.303,0.6606000000000001,2.6424000000000003,7.54,9.74,0.48700000000000004,2.1554,False
4,15.0,0.0,False,0,0,9455.0,130.0,0,578.0,0,871.0,180.0,444.0,2388.0,0,0,0,0,7553.0,2388.0,180.0,871.0,1152.0,2962.0,42.065,204,2.04,3259.0,32.59,3.0629999999999997,0.6126,2.4504,8.71,10.75,0.5375,1.9129,False
5,11.0,0.0,False,0,0,5486.0,105.0,0,574.0,0,917.0,0.0,330.0,1819.0,0,0,0,0,12368.0,1819.0,0.0,917.0,1009.0,8623.0,27.39,390,3.9,2736.0,27.36,5.862,1.1724,4.6896,9.17,13.07,0.6535000000000001,4.0361,False
6,12.0,0.0,False,0,0,9701.0,90.0,0,582.0,0,635.0,0.0,337.0,1980.0,0,0,0,0,8274.0,1980.0,0.0,635.0,1009.0,4650.0,35.693,444,4.44,2615.0,26.150000000000002,6.6735,1.3347,5.3388,6.3500000000000005,10.790000000000001,0.5395000000000001,4.7993,False
7,17.0,0.0,False,0,0,9187.0,151.0,0,618.0,0,995.0,180.0,510.0,2548.0,0,0,0,0,7410.0,2548.0,180.0,995.0,1279.0,2408.0,38.948,544,5.44,3543.0,35.43,8.166,1.6332000000000002,6.532800000000001,9.950000000000001,15.39,0.7695000000000001,5.763300000000001,False
8,4.0,0.0,False,0,0,1237.0,30.0,0,116.0,0,181.0,0.0,120.0,778.0,0,0,0,0,19137.0,778.0,0.0,181.0,266.0,17912.0,14.542,261,2.61,959.0,9.59,3.921,0.7842,3.1368,1.81,4.42,0.221,2.9158,False
9,13.0,0.0,False,0,0,8821.0,120.0,0,429.0,0,1317.0,0.0,390.0,3042.0,0,0,0,0,7480.0,3042.0,0.0,1317.0,939.0,2182.0,45.08,259,2.59,4359.0,43.59,3.8955,0.7791000000000001,3.1164000000000005,13.17,15.76,0.788,2.3284000000000002,False
10,12.0,0.0,False,0,0,10150.0,120.0,0,302.0,0,716.0,0.0,353.0,2559.0,0,0,0,0,7399.0,2559.0,0.0,716.0,775.0,3349.0,35.138,132,1.32,3275.0,32.75,1.983,0.39660000000000006,1.5864000000000003,7.16,8.48,0.42400000000000004,1.1624000000000003,False
11,5.0,0.0,False,0,0,10080.0,60.0,0,240.0,0,339.0,0.0,150.0,850.0,0,0,0,0,9880.0,850.0,0.0,339.0,450.0,8241.0,13.476,127,1.27,1189.0,11.89,1.911,0.38220000000000004,1.5288000000000002,3.39,4.66,0.233,1.2958,False
12,17.0,0.0,False,0,0,7935.0,163.0,0,539.0,0,2041.0,0.0,510.0,3177.0,0,0,0,0,7234.0,3177.0,0.0,2041.0,1212.0,804.0,44.364,204,2.04,5218.0,52.18,3.0705,0.6141000000000001,2.4564000000000004,20.41,22.45,1.1225,1.3339000000000003,False
13,3.0,0.0,False,0,0,3152.0,45.0,0,60.0,0,10213.0,0.0,90.0,526.0,0,0,0,0,7513.0,526.0,0.0,10213.0,195.0,-3421.0,5.269,293,2.93,10739.0,107.39,4.3950000000000005,0.8790000000000001,3.5160000000000005,102.13,105.06,5.253,-1.7369999999999997,False
14,15.0,0.0,False,0,0,9669.0,120.0,0,434.0,0,1202.0,0.0,450.0,3071.0,0,0,0,0,6653.0,3071.0,0.0,1202.0,1004.0,1376.0,52.567,160,1.6,4273.0,42.730000000000004,2.4015,0.4803,1.9212,12.02,13.62,0.681,1.2402,False
15,0.0,0.0,False,0,0,1882.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,19717.0,0.0,0.0,0.0,0.0,19717.0,0.0,470,4.7,0.0,0.0,7.062,1.4124,5.6496,0.0,4.7,0.23500000000000001,5.4146,True
16,13.0,0.0,False,0,0,10770.0,108.0,0,414.0,0,1042.0,0.0,390.0,1899.0,0,0,0,0,6976.0,1899.0,0.0,1042.0,912.0,3123.0,30.112,328,3.28,2941.0,29.41,4.9245,0.9849000000000001,3.9396000000000004,10.42,13.7,0.685,3.2546000000000004,False
17,5.0,0.0,False,0,0,4340.0,45.0,0,213.0,0,520.0,0.0,150.0,1153.0,0,0,0,0,15178.0,1153.0,0.0,520.0,408.0,13097.0,17.842,426,4.26,1673.0,16.73,6.3945,1.2789000000000001,5.115600000000001,5.2,9.46,0.4730000000000001,4.642600000000001,False
18,16.0,0.0,False,0,0,8815.0,165.0,0,762.0,0,1297.0,0.0,480.0,2671.0,0,0,0,0,7409.0,2671.0,0.0,1297.0,1407.0,2034.0,41.945,205,2.05,3968.0,39.68,3.0780000000000003,0.6156000000000001,2.4624000000000006,12.97,15.02,0.751,1.7114000000000007,False
19,19.0,0.0,False,0,0,8850.0,166.0,0,512.0,0,1544.0,0.0,570.0,3613.0,0,0,0,0,6344.0,3613.0,0.0,1544.0,1248.0,-61.0,53.919,470,4.7,5157.0,51.57,7.055999999999999,1.4112,5.6448,15.44,20.14,1.0070000000000001,4.6378,False
20,4.0,0.0,False,0,0,13387.0,60.0,0,58.0,0,91.0,0.0,120.0,443.0,0,0,0,0,7440.0,443.0,0.0,91.0,238.0,6668.0,4.451,129,1.29,534.0,5.34,1.9364999999999999,0.3873,1.5492,0.91,2.2,0.11000000000000001,1.4391999999999998,False
21,13.0,0.0,False,0,0,9855.0,120.0,0,603.0,0,1139.0,0.0,390.0,2429.0,0,0,0,0,7063.0,2429.0,0.0,1139.0,1113.0,2382.0,40.14,258,2.58,3568.0,35.68,3.8715,0.7743000000000001,3.0972000000000004,11.39,13.97,0.6985000000000001,2.3987000000000003,False
22,18.0,0.0,False,0,0,5249.0,165.0,0,703.0,0,1475.0,0.0,540.0,3315.0,0,0,0,0,10152.0,3315.0,0.0,1475.0,1408.0,3954.0,49.749,510,5.1,4790.0,47.9,7.661999999999999,1.5324,6.1296,14.75,19.85,0.9925000000000002,5.1371,False
23,7.0,0.0,False,0,0,4431.0,60.0,0,591.0,0,663.0,0.0,210.0,1365.0,0,0,0,0,14279.0,1365.0,0.0,663.0,861.0,11390.0,23.084,134,1.34,2028.0,20.28,2.0235,0.4047,1.6188,6.63,7.97,0.3985,1.2203,False
24,0.0,0.0,False,0,0,589.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,21010.0,0.0,0.0,0.0,0.0,21010.0,0.0,337,3.37,0.0,0.0,5.0625,1.0125,4.05,0.0,3.37,0.1685,3.8815,True
25,8.0,0.0,False,0,0,11111.0,90.0,0,155.0,0,563.0,0.0,240.0,1198.0,0,0,0,0,8242.0,1198.0,0.0,563.0,485.0,5996.0,17.688,361,3.61,1761.0,17.61,5.418,1.0836000000000001,4.3344000000000005,5.63,9.24,0.462,3.8724000000000003,False
26,11.0,0.0,False,0,0,9495.0,120.0,0,496.0,0,752.0,0.0,315.0,2067.0,0,0,0,0,8354.0,2067.0,0.0,752.0,931.0,4604.0,30.689,181,1.81,2819.0,28.19,2.7165,0.5433,2.1732,7.5200000000000005,9.33,0.4665,1.7067,False
27,2.0,0.0,False,0,0,660.0,15.0,0,47.0,0,299.0,0.0,60.0,407.0,0,0,0,0,20111.0,407.0,0.0,299.0,122.0,19283.0,8.357,386,3.86,706.0,7.0600000000000005,5.7975,1.1595000000000002,4.638000000000001,2.99,6.85,0.3425,4.2955000000000005,False
28,6.0,0.0,False,0,0,4576.0,75.0,0,177.0,0,449.0,0.0,180.0,1191.0,0,0,0,0,14951.0,1191.0,0.0,449.0,432.0,12879.0,13.64,76,0.76,1640.0,16.4,1.1415,0.2283,0.9132,4.49,5.25,0.2625,0.6507000000000001,False
29,11.0,0.0,False,0,0,9357.0,105.0,0,437.0,0,576.0,0.0,330.0,2071.0,0,0,0,0,8723.0,2071.0,0.0,576.0,872.0,5204.0,32.606,65,0.65,2647.0,26.47,0.984,0.1968,0.7872,5.76,6.41,0.3205,0.4667,False
30,2.0,0.0,False,0,0,13948.0,30.0,0,30.0,0,10.0,0.0,60.0,586.0,0,0,0,0,6935.0,586.0,0.0,10.0,120.0,6219.0,5.873,166,1.66,596.0,5.96,2.502,0.5004,2.0016,0.1,1.76,0.08800000000000001,1.9135999999999997,False
31,9.0,0.0,False,0,0,9071.0,60.0,0,491.0,0,717.0,0.0,270.0,1474.0,0,0,0,0,9516.0,1474.0,0.0,717.0,821.0,6504.0,26.022,348,3.48,2191.0,21.91,5.232,1.0464,4.1856,7.17,10.65,0.5325000000000001,3.6531,False
32,14.0,0.0,False,0,0,8425.0,135.0,0,455.0,0,1237.0,0.0,420.0,2397.0,0,0,0,0,8530.0,2397.0,0.0,1237.0,1010.0,3886.0,36.302,212,2.12,3634.0,36.34,3.192,0.6384000000000001,2.5536000000000003,12.370000000000001,14.490000000000002,0.7245000000000001,1.8291000000000002,False
33,5.0,0.0,False,0,0,2246.0,60.0,0,209.0,0,10255.0,0.0,150.0,1038.0,0,0,0,0,7641.0,1038.0,0.0,10255.0,419.0,-4071.0,12.784,120,1.2,11293.0,112.93,1.7999999999999998,0.36,1.44,102.55,103.75,5.1875,-3.7475,False
34,14.0,0.0,False,0,0,10386.0,180.0,0,437.0,0,963.0,0.0,420.0,2251.0,0,0,0,0,6962.0,2251.0,0.0,963.0,1037.0,2711.0,28.345,360,3.6,3214.0,32.14,5.403,1.0806,4.3224,9.63,13.23,0.6615000000000001,3.6609,False
35,19.0,0.0,False,0,0,8138.0,153.0,0,651.0,0,1245.0,0.0,570.0,3968.0,0,0,0,0,6874.0,3968.0,0.0,1245.0,1374.0,287.0,61.715,84,0.84,5213.0,52.13,1.2645,0.2529,1.0116,12.450000000000001,13.290000000000001,0.6645000000000001,0.34709999999999996,False
36,13.0,0.0,False,0,0,8830.0,135.0,0,713.0,0,909.0,0.0,390.0,2811.0,0,0,0,0,7811.0,2811.0,0.0,909.0,1238.0,2853.0,39.418,234,2.34,3720.0,37.2,3.5145,0.7029000000000001,2.8116000000000003,9.09,11.43,0.5715,2.2401000000000004,False
37,13.0,0.0,False,0,0,6511.0,120.0,0,760.0,0,883.0,0.0,390.0,2224.0,0,0,0,0,10711.0,2224.0,0.0,883.0,1270.0,6334.0,38.218,415,4.15,3107.0,31.07,6.228,1.2456,4.9824,8.83,12.98,0.649,4.3334,False
38,17.0,0.0,False,0,0,9015.0,180.0,0,735.0,0,827.0,0.0,510.0,2468.0,0,0,0,0,7864.0,2468.0,0.0,827.0,1425.0,3144.0,33.918,184,1.84,3295.0,32.95,2.7615,0.5523,2.2092,8.27,10.11,0.5055,1.7037,False
39,10.0,0.0,False,0,0,10502.0,90.0,0,391.0,0,1057.0,0.0,300.0,2103.0,0,0,0,0,7156.0,2103.0,0.0,1057.0,781.0,3215.0,33.55,333,3.33,3160.0,31.6,4.9995,0.9999000000000001,3.9996000000000005,10.57,13.9,0.6950000000000001,3.3046000000000006,False
