pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
0,15.0,676.0,20.0,30.0,308.0,143.0,0.0,10.0,0,0,0,0,0,0,676.0,451.0,55.0,False
1,15.0,238.0,20.0,30.0,36.0,0.0,9.0,10.0,0,0,0,0,0,0,238.0,36.0,55.0,False
2,15.0,299.0,20.0,30.0,66.0,0.0,15.0,10.0,0,0,0,0,0,0,299.0,66.0,55.0,False
3,15.0,146.0,20.0,30.0,0.0,0.0,24.0,10.0,0,0,0,0,0,0,146.0,0.0,55.0,False
4,15.0,348.0,20.0,30.0,24.0,15.0,62.0,10.0,0,0,0,0,0,0,348.0,39.0,55.0,False
5,15.0,380.0,20.0,25.0,0.0,5.0,69.0,10.0,0,0,0,0,0,0,380.0,5.0,50.0,False
6,15.0,474.0,35.0,30.0,578.0,74.0,54.0,10.0,0,0,0,0,0,0,474.0,652.0,55.0,False
7,15.0,288.0,35.0,30.0,163.0,69.0,25.0,10.0,0,0,0,0,0,0,288.0,232.0,55.0,False
8,15.0,490.0,20.0,26.0,43.0,4.0,126.0,10.0,0,0,0,0,0,0,490.0,47.0,51.0,False
9,15.0,398.0,20.0,30.0,22.0,328.0,137.0,10.0,0,0,0,0,0,0,398.0,350.0,55.0,False
10,15.0,237.0,35.0,30.0,72.0,62.0,89.0,10.0,0,0,0,0,0,0,237.0,134.0,55.0,False
11,15.0,191.0,20.0,30.0,79.0,221.0,166.0,10.0,0,0,0,0,0,0,191.0,300.0,55.0,False
12,15.0,355.0,35.0,30.0,749.0,54.0,109.0,10.0,0,0,0,0,0,0,355.0,803.0,55.0,False
13,15.0,248.0,20.0,30.0,53.0,0.0,182.0,10.0,0,0,0,0,0,0,248.0,53.0,55.0,False
14,15.0,171.0,35.0,30.0,205.0,126.0,67.0,10.0,0,0,0,0,0,0,171.0,331.0,55.0,False
15,15.0,232.0,20.0,30.0,99.0,0.0,216.0,10.0,0,0,0,0,0,0,232.0,99.0,55.0,False
16,15.0,495.0,20.0,30.0,38.0,18.0,256.0,10.0,0,0,0,0,0,0,495.0,56.0,55.0,False
17,15.0,260.0,20.0,30.0,9.0,0.0,261.0,10.0,0,0,0,0,0,0,260.0,9.0,55.0,False
18,15.0,144.0,20.0,30.0,83.0,0.0,327.0,10.0,0,0,0,0,0,0,144.0,83.0,55.0,False
19,15.0,203.0,35.0,30.0,76.0,256.0,106.0,10.0,0,0,0,0,0,0,203.0,332.0,55.0,False
20,15.0,148.0,20.0,30.0,77.0,0.0,384.0,10.0,0,0,0,0,0,0,148.0,77.0,55.0,False
21,15.0,731.0,20.0,12.0,59.0,19.0,396.0,10.0,0,0,0,0,0,0,731.0,78.0,37.0,False
22,15.0,179.0,20.0,30.0,48.0,0.0,416.0,10.0,0,0,0,0,0,0,179.0,48.0,55.0,False
23,15.0,82.0,20.0,30.0,0.0,0.0,462.0,10.0,0,0,0,0,0,0,82.0,0.0,55.0,False
24,15.0,239.0,22.0,30.0,132.0,409.0,97.0,10.0,0,0,0,0,0,0,239.0,541.0,55.0,False
25,15.0,293.0,35.0,30.0,280.0,493.0,13.0,10.0,0,0,0,0,0,0,293.0,773.0,55.0,False
26,15.0,276.0,35.0,30.0,107.0,166.0,350.0,10.0,0,0,0,0,0,0,276.0,273.0,55.0,False
27,15.0,251.0,35.0,30.0,0.0,137.0,400.0,10.0,0,0,0,0,0,0,251.0,137.0,55.0,False
28,15.0,241.0,20.0,30.0,39.0,0.0,586.0,10.0,0,0,0,0,0,0,241.0,39.0,55.0,False
29,15.0,193.0,20.0,30.0,0.0,0.0,623.0,10.0,0,0,0,0,0,0,193.0,0.0,55.0,False
30,15.0,442.0,20.0,30.0,0.0,152.0,683.0,10.0,0,0,0,0,0,0,442.0,152.0,55.0,False
31,15.0,28.0,20.0,30.0,86.0,0.0,715.0,10.0,0,0,0,0,0,0,28.0,86.0,55.0,False
32,15.0,212.0,20.0,30.0,17.0,0.0,790.0,10.0,0,0,0,0,0,0,212.0,17.0,55.0,False
33,0.0,399.0,20.0,30.0,93.0,15.0,801.0,10.0,0,0,0,0,0,0,399.0,108.0,40.0,False
34,0.0,174.0,35.0,30.0,133.0,801.0,15.0,10.0,0,0,0,0,0,0,174.0,934.0,40.0,False
35,15.0,234.0,20.0,30.0,0.0,0.0,820.0,10.0,0,0,0,0,0,0,234.0,0.0,55.0,False
36,15.0,253.0,20.0,0.0,140.0,30.0,887.0,10.0,0,0,0,0,0,0,253.0,170.0,25.0,False
37,15.0,336.0,35.0,30.0,0.0,683.0,202.0,10.0,0,0,0,0,0,0,336.0,683.0,55.0,False
38,15.0,380.0,20.0,30.0,41.0,2.0,905.0,10.0,0,0,0,0,0,0,380.0,43.0,55.0,False
