pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
0,15.0,335.0,20.0,30.0,0.0,297.0,73.0,0.0,10.0,0,0,0,0,0,335.0,370.0,55.0,False
1,15.0,155.0,20.0,30.0,0.0,85.0,0.0,112.0,10.0,0,0,0,0,0,155.0,85.0,55.0,False
2,15.0,423.0,20.0,30.0,0.0,55.0,239.0,122.0,10.0,0,0,0,0,0,423.0,294.0,55.0,False
3,15.0,62.0,20.0,30.0,0.0,13.0,0.0,206.0,10.0,0,0,0,0,0,62.0,13.0,55.0,False
4,15.0,305.0,20.0,30.0,0.0,128.0,0.0,340.0,10.0,0,0,0,0,0,305.0,128.0,55.0,False
5,15.0,354.0,20.0,30.0,0.0,159.0,0.0,419.0,10.0,0,0,0,0,0,354.0,159.0,55.0,False
6,15.0,374.0,35.0,30.0,0.0,153.0,0.0,420.0,10.0,0,0,0,0,0,374.0,153.0,55.0,False
7,15.0,162.0,35.0,30.0,0.0,0.0,122.0,344.0,10.0,0,0,0,0,0,162.0,122.0,55.0,False
8,15.0,377.0,20.0,30.0,0.0,56.0,0.0,539.0,10.0,0,0,0,0,0,377.0,56.0,55.0,False
9,15.0,213.0,20.0,30.0,0.0,9980.0,0.0,601.0,10.0,0,0,0,0,0,213.0,9980.0,55.0,False
10,15.0,488.0,20.0,30.0,0.0,239.0,132.0,685.0,10.0,0,0,0,0,0,488.0,371.0,55.0,False
11,15.0,321.0,20.0,30.0,0.0,73.0,58.0,705.0,10.0,0,0,0,0,0,321.0,131.0,55.0,False
12,15.0,655.0,20.0,30.0,0.0,9954.0,26.0,755.0,10.0,0,0,0,0,0,655.0,9980.0,55.0,False
13,15.0,181.0,35.0,30.0,0.0,277.0,705.0,78.0,10.0,0,0,0,0,0,181.0,982.0,55.0,False
14,15.0,391.0,35.0,30.0,0.0,10335.0,755.0,46.0,10.0,0,0,0,0,0,391.0,11090.0,55.0,False
15,15.0,375.0,35.0,30.0,0.0,517.0,685.0,152.0,10.0,0,0,0,0,0,375.0,1202.0,55.0,False
16,15.0,805.0,20.0,30.0,0.0,62.0,556.0,875.0,10.0,0,0,0,0,0,805.0,618.0,55.0,False
17,15.0,357.0,20.0,30.0,0.0,385.0,0.0,890.0,10.0,0,0,0,0,0,357.0,385.0,55.0,False
18,15.0,560.0,35.0,30.0,0.0,564.0,1392.0,24.0,10.0,0,0,0,0,0,560.0,1956.0,55.0,False
19,15.0,188.0,20.0,30.0,0.0,244.0,0.0,959.0,10.0,0,0,0,0,0,188.0,244.0,55.0,False
20,0.0,166.0,20.0,30.0,0.0,35.0,401.0,980.0,10.0,0,0,0,0,0,166.0,436.0,40.0,False
21,15.0,202.0,20.0,30.0,0.0,262.0,0.0,1056.0,10.0,0,0,0,0,0,202.0,262.0,55.0,False
22,15.0,237.0,20.0,30.0,0.0,206.0,0.0,1057.0,10.0,0,0,0,0,0,237.0,206.0,55.0,False
23,0.0,0.0,0.0,0.0,195.0,0.0,0.0,1167.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
24,0.0,300.0,35.0,30.0,0.0,0.0,1196.0,205.0,10.0,0,0,0,0,0,300.0,1196.0,40.0,False
25,0.0,0.0,0.0,0.0,195.0,0.0,0.0,1224.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
26,0.0,0.0,0.0,0.0,195.0,0.0,0.0,1225.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
27,9.0,130.0,20.0,30.0,0.0,132.0,6.0,1325.0,10.0,0,0,0,0,0,130.0,138.0,49.0,False
28,15.0,397.0,26.0,30.0,0.0,688.0,908.0,543.0,10.0,0,0,0,0,0,397.0,1596.0,55.0,False
29,15.0,354.0,20.0,30.0,0.0,376.0,0.0,1498.0,10.0,0,0,0,0,0,354.0,376.0,55.0,False
30,0.0,287.0,20.0,30.0,0.0,138.0,79.0,1516.0,10.0,0,0,0,0,0,287.0,217.0,40.0,False
31,0.0,88.0,20.0,30.0,0.0,84.0,24.0,1551.0,10.0,0,0,0,0,0,88.0,108.0,40.0,False
32,15.0,58.0,20.0,30.0,0.0,53.0,0.0,1707.0,10.0,0,0,0,0,0,58.0,53.0,55.0,False
33,15.0,388.0,20.0,30.0,0.0,260.0,60.0,1950.0,10.0,0,0,0,0,0,388.0,320.0,55.0,False
34,15.0,411.0,35.0,30.0,0.0,357.0,1950.0,80.0,10.0,0,0,0,0,0,411.0,2307.0,55.0,False
35,15.0,151.0,20.0,30.0,0.0,55.0,0.0,2246.0,10.0,0,0,0,0,0,151.0,55.0,55.0,False
36,15.0,316.0,20.0,30.0,0.0,65.0,0.0,2377.0,10.0,0,0,0,0,0,316.0,65.0,55.0,False
37,15.0,228.0,20.0,30.0,0.0,133.0,0.0,2453.0,10.0,0,0,0,0,0,228.0,133.0,55.0,False
38,15.0,837.0,20.0,30.0,0.0,284.0,42.0,2469.0,10.0,0,0,0,0,0,837.0,326.0,55.0,False
