pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
0,15.0,189.0,20.0,30.0,367.0,0.0,0.0,10.0,0,0,0,0,0,0,189.0,367.0,55.0,False
1,15.0,72.0,20.0,30.0,110.0,0.0,3.0,10.0,0,0,0,0,0,0,72.0,110.0,55.0,False
2,15.0,404.0,20.0,30.0,0.0,0.0,36.0,10.0,0,0,0,0,0,0,404.0,0.0,55.0,False
3,15.0,119.0,20.0,30.0,110.0,55.0,212.0,10.0,0,0,0,0,0,0,119.0,165.0,55.0,False
4,15.0,236.0,20.0,30.0,113.0,0.0,232.0,10.0,0,0,0,0,0,0,236.0,113.0,55.0,False
5,6.0,274.0,20.0,30.0,28.0,9.0,263.0,10.0,0,0,0,0,0,0,274.0,37.0,46.0,False
6,15.0,85.0,20.0,30.0,0.0,0.0,266.0,10.0,0,0,0,0,0,0,85.0,0.0,55.0,False
7,6.0,329.0,29.0,30.0,65.0,263.0,9.0,10.0,0,0,0,0,0,0,329.0,328.0,46.0,False
8,15.0,68.0,20.0,30.0,0.0,0.0,274.0,10.0,0,0,0,0,0,0,68.0,0.0,55.0,False
9,15.0,340.0,35.0,30.0,0.0,212.0,75.0,10.0,0,0,0,0,0,0,340.0,212.0,55.0,False
10,15.0,348.0,20.0,30.0,26.0,172.0,339.0,10.0,0,0,0,0,0,0,348.0,198.0,55.0,False
11,15.0,121.0,20.0,30.0,0.0,0.0,353.0,10.0,0,0,0,0,0,0,121.0,0.0,55.0,False
12,15.0,77.0,20.0,30.0,29.0,0.0,387.0,10.0,0,0,0,0,0,0,77.0,29.0,55.0,False
