pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
0,15.0,244.0,20.0,30.0,342.0,0.0,0.0,10.0,0,0,0,0,0,0,244.0,342.0,55.0,False
1,15.0,625.0,20.0,30.0,1.0,214.0,52.0,10.0,0,0,0,0,0,0,625.0,215.0,55.0,False
2,15.0,262.0,20.0,30.0,0.0,0.0,77.0,10.0,0,0,0,0,0,0,262.0,0.0,55.0,False
3,15.0,44.0,20.0,30.0,10.0,0.0,120.0,10.0,0,0,0,0,0,0,44.0,10.0,55.0,False
4,15.0,393.0,20.0,30.0,101.0,34.0,143.0,10.0,0,0,0,0,0,0,393.0,135.0,55.0,False
5,15.0,317.0,20.0,30.0,140.0,88.0,172.0,10.0,0,0,0,0,0,0,317.0,228.0,55.0,False
6,15.0,206.0,35.0,30.0,0.0,143.0,54.0,10.0,0,0,0,0,0,0,206.0,143.0,55.0,False
7,15.0,321.0,20.0,30.0,43.0,0.0,267.0,10.0,0,0,0,0,0,0,321.0,43.0,55.0,False
8,15.0,288.0,35.0,30.0,0.0,172.0,108.0,10.0,0,0,0,0,0,0,288.0,172.0,55.0,False
9,15.0,295.0,20.0,30.0,65.0,0.0,324.0,10.0,0,0,0,0,0,0,295.0,65.0,55.0,False
10,15.0,273.0,35.0,30.0,0.0,52.0,265.0,10.0,0,0,0,0,0,0,273.0,52.0,55.0,False
11,15.0,244.0,20.0,30.0,3.0,306.0,339.0,10.0,0,0,0,0,0,0,244.0,309.0,55.0,False
12,15.0,203.0,20.0,30.0,67.0,0.0,384.0,10.0,0,0,0,0,0,0,203.0,67.0,55.0,False
13,15.0,741.0,20.0,30.0,106.0,353.0,394.0,10.0,0,0,0,0,0,0,741.0,459.0,55.0,False
14,15.0,78.0,20.0,30.0,33.0,0.0,452.0,10.0,0,0,0,0,0,0,78.0,33.0,55.0,False
15,15.0,555.0,3.0,30.0,198.0,101.0,556.0,10.0,0,0,0,0,0,0,555.0,299.0,55.0,False
16,15.0,257.0,20.0,30.0,0.0,179.0,565.0,10.0,0,0,0,0,0,0,257.0,179.0,55.0,False
17,15.0,95.0,20.0,30.0,3.0,0.0,569.0,10.0,0,0,0,0,0,0,95.0,3.0,55.0,False
18,15.0,484.0,35.0,30.0,36.0,608.0,17.0,10.0,0,0,0,0,0,0,484.0,644.0,55.0,False
19,15.0,395.0,20.0,30.0,76.0,56.0,644.0,10.0,0,0,0,0,0,0,395.0,132.0,55.0,False
20,15.0,90.0,20.0,30.0,40.0,0.0,662.0,10.0,0,0,0,0,0,0,90.0,40.0,55.0,False
21,15.0,396.0,35.0,30.0,485.0,573.0,87.0,10.0,0,0,0,0,0,0,396.0,1058.0,55.0,False
22,15.0,135.0,35.0,30.0,0.0,339.0,359.0,10.0,0,0,0,0,0,0,135.0,339.0,55.0,False
23,15.0,391.0,20.0,30.0,87.0,12.0,728.0,10.0,0,0,0,0,0,0,391.0,99.0,55.0,False
24,15.0,432.0,35.0,30.0,145.0,644.0,76.0,10.0,0,0,0,0,0,0,432.0,789.0,55.0,False
25,15.0,345.0,35.0,30.0,0.0,728.0,32.0,10.0,0,0,0,0,0,0,345.0,728.0,55.0,False
26,15.0,613.0,35.0,30.0,0.0,394.0,373.0,10.0,0,0,0,0,0,0,613.0,394.0,55.0,False
27,15.0,189.0,20.0,30.0,20.0,24.0,799.0,10.0,0,0,0,0,0,0,189.0,44.0,55.0,False
28,15.0,260.0,35.0,30.0,0.0,565.0,229.0,10.0,0,0,0,0,0,0,260.0,565.0,55.0,False
29,15.0,293.0,35.0,30.0,143.0,799.0,44.0,10.0,0,0,0,0,0,0,293.0,942.0,55.0,False
30,15.0,312.0,20.0,30.0,10.0,0.0,883.0,10.0,0,0,0,0,0,0,312.0,10.0,55.0,False
31,15.0,237.0,20.0,30.0,13.0,0.0,887.0,10.0,0,0,0,0,0,0,237.0,13.0,55.0,False
32,15.0,226.0,20.0,30.0,84.0,0.0,914.0,10.0,0,0,0,0,0,0,226.0,84.0,55.0,False
33,15.0,342.0,20.0,30.0,12.0,141.0,953.0,10.0,0,0,0,0,0,0,342.0,153.0,55.0,False
34,15.0,190.0,20.0,30.0,36.0,0.0,963.0,10.0,0,0,0,0,0,0,190.0,36.0,55.0,False
35,15.0,202.0,20.0,30.0,120.0,0.0,1016.0,10.0,0,0,0,0,0,0,202.0,120.0,55.0,False
36,15.0,304.0,20.0,30.0,7.0,92.0,1058.0,10.0,0,0,0,0,0,0,304.0,99.0,55.0,False
37,15.0,71.0,20.0,30.0,0.0,0.0,1079.0,10.0,0,0,0,0,0,0,71.0,0.0,55.0,False
38,15.0,199.0,20.0,21.0,43.0,9.0,1082.0,10.0,0,0,0,0,0,0,199.0,52.0,46.0,False
39,15.0,132.0,20.0,30.0,20.0,0.0,1162.0,10.0,0,0,0,0,0,0,132.0,20.0,55.0,False
40,15.0,185.0,35.0,30.0,37.0,1082.0,72.0,10.0,0,0,0,0,0,0,185.0,1119.0,55.0,False
41,15.0,351.0,35.0,30.0,0.0,953.0,203.0,10.0,0,0,0,0,0,0,351.0,953.0,55.0,False
42,15.0,106.0,20.0,30.0,34.0,0.0,1172.0,10.0,0,0,0,0,0,0,106.0,34.0,55.0,False
43,15.0,354.0,10.0,30.0,124.0,1083.0,124.0,10.0,0,0,0,0,0,0,354.0,1207.0,55.0,False
44,15.0,308.0,20.0,30.0,268.0,94.0,1203.0,10.0,0,0,0,0,0,0,308.0,362.0,55.0,False
45,15.0,383.0,35.0,30.0,6.0,1182.0,25.0,10.0,0,0,0,0,0,0,383.0,1188.0,55.0,False
46,15.0,322.0,5.0,30.0,64.0,15.0,1237.0,10.0,0,0,0,0,0,0,322.0,79.0,55.0,False
47,15.0,320.0,35.0,30.0,127.0,1237.0,15.0,10.0,0,0,0,0,0,0,320.0,1364.0,55.0,False
48,15.0,461.0,20.0,30.0,9707.0,273.0,1279.0,10.0,0,0,0,0,0,0,461.0,9980.0,55.0,False
49,15.0,53.0,20.0,30.0,0.0,0.0,1297.0,10.0,0,0,0,0,0,0,53.0,0.0,55.0,False
50,15.0,235.0,20.0,30.0,33.0,0.0,1316.0,10.0,0,0,0,0,0,0,235.0,33.0,55.0,False
51,15.0,545.0,31.0,30.0,159.0,1207.0,110.0,10.0,0,0,0,0,0,0,545.0,1366.0,55.0,False
52,15.0,758.0,35.0,30.0,39.0,1313.0,4.0,10.0,0,0,0,0,0,0,758.0,1352.0,55.0,False
53,15.0,178.0,20.0,30.0,31.0,0.0,1437.0,10.0,0,0,0,0,0,0,178.0,31.0,55.0,False
54,15.0,412.0,20.0,30.0,45.0,0.0,1486.0,10.0,0,0,0,0,0,0,412.0,45.0,55.0,False
55,15.0,534.0,20.0,30.0,40.0,0.0,1490.0,10.0,0,0,0,0,0,0,534.0,40.0,55.0,False
56,15.0,314.0,20.0,30.0,158.0,22.0,1520.0,10.0,0,0,0,0,0,0,314.0,180.0,55.0,False
57,15.0,214.0,20.0,17.0,1.0,229.0,1546.0,10.0,0,0,0,0,0,0,214.0,230.0,42.0,False
58,15.0,131.0,20.0,30.0,34.0,0.0,1558.0,10.0,0,0,0,0,0,0,131.0,34.0,55.0,False
