pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
0,14,323,20,30,126,1,0,10,0,0,0,0,0,0,323,127,54,FALSE
1,14,166,21,30,259,0,1,10,0,0,0,0,0,0,166,259,54,FALSE
2,15,81,20,30,13,0,30,10,0,0,0,0,0,0,81,13,55,FALSE
3,4,416,20,30,215,11,60,10,0,0,0,0,0,0,416,226,44,FALSE
4,4,772,31,30,0,60,11,10,0,0,0,0,0,0,772,60,44,FALSE
5,15,359,20,30,37,66,76,10,0,0,0,0,0,0,359,103,55,FALSE
6,15,135,20,30,9,0,113,10,0,0,0,0,0,0,135,9,55,FALSE
7,15,94,20,30,76,0,147,10,0,0,0,0,0,0,94,76,55,FALSE
8,11,322,20,30,44,4,207,10,0,0,0,0,0,0,322,48,51,FALSE
9,11,422,24,30,147,207,4,10,0,0,0,0,0,0,422,354,51,FALSE
10,15,142,35,30,0,76,153,10,0,0,0,0,0,0,142,76,55,FALSE
11,15,136,20,30,56,0,295,10,0,0,0,0,0,0,136,56,55,FALSE
12,15,278,20,30,42,0,328,10,0,0,0,0,0,0,278,42,55,FALSE
13,15,194,20,30,16,0,443,10,0,0,0,0,0,0,194,16,55,FALSE
14,15,456,20,30,113,46,453,10,0,0,0,0,0,0,456,159,55,FALSE
15,15,284,35,30,0,453,66,10,0,0,0,0,0,0,284,453,55,FALSE
16,2,165,20,30,138,13,613,10,0,0,0,0,0,0,165,151,42,FALSE
17,2,132,33,30,289,613,13,10,0,0,0,0,0,0,132,902,42,FALSE
18,15,178,20,30,9980,0,640,10,0,0,0,0,0,0,178,9980,55,FALSE
19,15,303,20,30,24,2,643,10,0,0,0,0,0,0,303,26,55,FALSE
20,15,143,35,30,69,643,22,10,0,0,0,0,0,0,143,712,55,FALSE
21,15,625,20,30,130,85,769,10,0,0,0,0,0,0,625,215,55,FALSE
22,15,174,20,30,36,0,797,10,0,0,0,0,0,0,174,36,55,FALSE
23,15,389,35,30,0,769,105,10,0,0,0,0,0,0,389,769,55,FALSE
24,15,303,20,8,60,22,908,10,0,0,0,0,0,0,303,82,33,FALSE
25,15,220,20,30,24,0,946,10,0,0,0,0,0,0,220,24,55,FALSE
26,15,354,20,30,146,91,955,10,0,0,0,0,0,0,354,237,55,FALSE
27,15,146,35,30,11,908,102,10,0,0,0,0,0,0,146,919,55,FALSE
28,15,64,20,30,0,0,1034,10,0,0,0,0,0,0,64,0,55,FALSE
29,15,667,35,30,0,955,111,10,0,0,0,0,0,0,667,955,55,FALSE
30,15,201,20,30,47,0,1171,10,0,0,0,0,0,0,201,47,55,FALSE
31,0,531,20,30,225,15,1200,10,0,0,0,0,0,0,531,240,40,FALSE
32,0,470,35,30,420,1200,15,10,0,0,0,0,0,0,470,1620,40,FALSE
33,15,609,20,30,118,99,1221,10,0,0,0,0,0,0,609,217,55,FALSE
34,15,205,20,5,26,25,1303,10,0,0,0,0,0,0,205,51,30,FALSE
35,1,807,20,30,123,66,1314,10,0,0,0,0,0,0,807,189,41,FALSE
36,1,338,34,30,383,1352,14,10,0,0,0,0,0,0,338,1735,41,FALSE
37,13,710,13,30,157,9,1386,10,0,0,0,0,0,0,710,166,53,FALSE
38,13,548,15,30,32,1393,2,10,0,0,0,0,0,0,548,1425,53,FALSE
39,15,197,35,30,27,1303,71,10,0,0,0,0,0,0,197,1330,55,FALSE
40,1,233,35,30,526,1328,72,10,0,0,0,0,0,0,233,1854,41,FALSE
41,13,95,35,30,224,1388,7,10,0,0,0,0,0,0,95,1612,53,FALSE
42,15,149,20,30,23,51,1445,10,0,0,0,0,0,0,149,74,55,FALSE
43,15,320,20,30,71,98,1449,10,0,0,0,0,0,0,320,169,55,FALSE
44,15,238,20,30,70,109,1450,10,0,0,0,0,0,0,238,179,55,FALSE
45,15,550,20,30,140,0,1474,10,0,0,0,0,0,0,550,140,55,FALSE
46,15,218,35,30,200,1221,267,10,0,0,0,0,0,0,218,1421,55,FALSE
47,15,252,20,30,56,0,1550,10,0,0,0,0,0,0,252,56,55,FALSE
48,15,224,35,30,0,1445,124,10,0,0,0,0,0,0,224,1445,55,FALSE
49,15,112,20,30,0,0,1591,10,0,0,0,0,0,0,112,0,55,FALSE
50,15,270,20,30,1,64,1659,10,0,0,0,0,0,0,270,65,55,FALSE
51,15,308,35,30,0,1449,219,10,0,0,0,0,0,0,308,1449,55,FALSE
52,15,67,20,30,77,30,1683,10,0,0,0,0,0,0,67,107,55,FALSE
53,15,228,35,30,0,1450,229,10,0,0,0,0,0,0,228,1450,55,FALSE
54,15,201,20,30,7,105,1698,10,0,0,0,0,0,0,201,112,55,FALSE
55,15,181,35,30,0,1683,50,10,0,0,0,0,0,0,181,1683,55,FALSE
56,15,127,20,30,92,0,1766,10,0,0,0,0,0,0,127,92,55,FALSE
