pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
0,15.0,316.0,20.0,30.0,272.0,33.0,0.0,10.0,0,0,0,0,0,0,316.0,305.0,55.0,False
1,15.0,377.0,0.0,30.0,64.0,93.0,15.0,10.0,0,0,0,0,0,0,377.0,157.0,55.0,False
2,3.0,292.0,20.0,30.0,94.0,12.0,24.0,10.0,0,0,0,0,0,0,292.0,106.0,43.0,False
3,3.0,112.0,32.0,30.0,133.0,24.0,12.0,10.0,0,0,0,0,0,0,112.0,157.0,43.0,False
4,15.0,234.0,20.0,30.0,18.0,0.0,39.0,10.0,0,0,0,0,0,0,234.0,18.0,55.0,False
5,15.0,308.0,35.0,30.0,28.0,147.0,20.0,10.0,0,0,0,0,0,0,308.0,175.0,55.0,False
6,15.0,32.0,20.0,30.0,0.0,0.0,62.0,10.0,0,0,0,0,0,0,32.0,0.0,55.0,False
7,15.0,299.0,20.0,30.0,163.0,0.0,66.0,10.0,0,0,0,0,0,0,299.0,163.0,55.0,False
8,15.0,281.0,35.0,30.0,133.0,0.0,53.0,10.0,0,0,0,0,0,0,281.0,133.0,55.0,False
9,15.0,561.0,20.0,30.0,157.0,237.0,164.0,10.0,0,0,0,0,0,0,561.0,394.0,55.0,False
10,15.0,187.0,20.0,30.0,22.0,0.0,214.0,10.0,0,0,0,0,0,0,187.0,22.0,55.0,False
11,15.0,187.0,20.0,30.0,0.0,0.0,214.0,10.0,0,0,0,0,0,0,187.0,0.0,55.0,False
12,15.0,301.0,35.0,30.0,169.0,35.0,167.0,10.0,0,0,0,0,0,0,301.0,204.0,55.0,False
13,15.0,187.0,20.0,30.0,0.0,0.0,259.0,10.0,0,0,0,0,0,0,187.0,0.0,55.0,False
14,15.0,184.0,20.0,30.0,21.0,0.0,266.0,10.0,0,0,0,0,0,0,184.0,21.0,55.0,False
15,15.0,388.0,20.0,3.0,183.0,27.0,279.0,10.0,0,0,0,0,0,0,388.0,210.0,28.0,False
16,15.0,450.0,20.0,30.0,183.0,0.0,290.0,10.0,0,0,0,0,0,0,450.0,183.0,55.0,False
17,15.0,309.0,20.0,30.0,0.0,354.0,335.0,10.0,0,0,0,0,0,0,309.0,354.0,55.0,False
18,15.0,143.0,20.0,30.0,63.0,0.0,357.0,10.0,0,0,0,0,0,0,143.0,63.0,55.0,False
19,3.0,264.0,20.0,30.0,264.0,12.0,381.0,10.0,0,0,0,0,0,0,264.0,276.0,43.0,False
20,3.0,111.0,32.0,30.0,189.0,381.0,12.0,10.0,0,0,0,0,0,0,111.0,570.0,43.0,False
21,15.0,412.0,35.0,30.0,80.0,279.0,230.0,10.0,0,0,0,0,0,0,412.0,359.0,55.0,False
22,15.0,384.0,20.0,30.0,91.0,0.0,566.0,10.0,0,0,0,0,0,0,384.0,91.0,55.0,False
23,15.0,169.0,20.0,30.0,21.0,0.0,569.0,10.0,0,0,0,0,0,0,169.0,21.0,55.0,False
24,15.0,180.0,20.0,30.0,25.0,296.0,612.0,10.0,0,0,0,0,0,0,180.0,321.0,55.0,False
25,15.0,424.0,35.0,30.0,0.0,164.0,444.0,10.0,0,0,0,0,0,0,424.0,164.0,55.0,False
26,15.0,290.0,20.0,30.0,32.0,0.0,689.0,10.0,0,0,0,0,0,0,290.0,32.0,55.0,False
27,15.0,151.0,20.0,30.0,130.0,12.0,727.0,10.0,0,0,0,0,0,0,151.0,142.0,55.0,False
28,15.0,431.0,35.0,30.0,0.0,335.0,404.0,10.0,0,0,0,0,0,0,431.0,335.0,55.0,False
29,15.0,306.0,20.0,30.0,0.0,106.0,758.0,10.0,0,0,0,0,0,0,306.0,106.0,55.0,False
30,15.0,416.0,35.0,30.0,45.0,727.0,32.0,10.0,0,0,0,0,0,0,416.0,772.0,55.0,False
31,15.0,512.0,20.0,8.0,97.0,22.0,806.0,10.0,0,0,0,0,0,0,512.0,119.0,33.0,False
32,15.0,158.0,35.0,30.0,1.0,758.0,156.0,10.0,0,0,0,0,0,0,158.0,759.0,55.0,False
33,15.0,130.0,20.0,30.0,25.0,0.0,948.0,10.0,0,0,0,0,0,0,130.0,25.0,55.0,False
34,15.0,203.0,35.0,30.0,22.0,806.0,139.0,10.0,0,0,0,0,0,0,203.0,828.0,55.0,False
35,15.0,246.0,35.0,30.0,0.0,612.0,371.0,10.0,0,0,0,0,0,0,246.0,612.0,55.0,False
36,15.0,121.0,20.0,30.0,57.0,0.0,1015.0,10.0,0,0,0,0,0,0,121.0,57.0,55.0,False
37,15.0,258.0,20.0,30.0,48.0,0.0,1021.0,10.0,0,0,0,0,0,0,258.0,48.0,55.0,False
38,15.0,252.0,20.0,30.0,126.0,0.0,1031.0,10.0,0,0,0,0,0,0,252.0,126.0,55.0,False
39,15.0,157.0,20.0,30.0,39.0,0.0,1055.0,10.0,0,0,0,0,0,0,157.0,39.0,55.0,False
40,15.0,428.0,20.0,30.0,17.0,0.0,1074.0,10.0,0,0,0,0,0,0,428.0,17.0,55.0,False
41,15.0,93.0,20.0,30.0,174.0,0.0,1171.0,10.0,0,0,0,0,0,0,93.0,174.0,55.0,False
42,15.0,433.0,20.0,30.0,25.0,229.0,1171.0,10.0,0,0,0,0,0,0,433.0,254.0,55.0,False
43,15.0,180.0,20.0,30.0,190.0,0.0,1178.0,10.0,0,0,0,0,0,0,180.0,190.0,55.0,False
44,15.0,148.0,20.0,30.0,87.0,0.0,1187.0,10.0,0,0,0,0,0,0,148.0,87.0,55.0,False
45,15.0,123.0,20.0,30.0,46.0,0.0,1210.0,10.0,0,0,0,0,0,0,123.0,46.0,55.0,False
46,15.0,154.0,20.0,30.0,48.0,0.0,1233.0,10.0,0,0,0,0,0,0,154.0,48.0,55.0,False
47,15.0,229.0,20.0,30.0,114.0,159.0,1267.0,10.0,0,0,0,0,0,0,229.0,273.0,55.0,False
48,15.0,404.0,20.0,30.0,19.0,0.0,1286.0,10.0,0,0,0,0,0,0,404.0,19.0,55.0,False
49,15.0,96.0,20.0,30.0,29.0,0.0,1339.0,10.0,0,0,0,0,0,0,96.0,29.0,55.0,False
50,15.0,180.0,20.0,30.0,67.0,282.0,1434.0,10.0,0,0,0,0,0,0,180.0,349.0,55.0,False
51,15.0,148.0,20.0,30.0,0.0,0.0,1447.0,10.0,0,0,0,0,0,0,148.0,0.0,55.0,False
52,15.0,238.0,35.0,30.0,0.0,1171.0,304.0,10.0,0,0,0,0,0,0,238.0,1171.0,55.0,False
53,15.0,303.0,20.0,30.0,59.0,52.0,1501.0,10.0,0,0,0,0,0,0,303.0,111.0,55.0,False
54,15.0,174.0,20.0,30.0,0.0,0.0,1594.0,10.0,0,0,0,0,0,0,174.0,0.0,55.0,False
55,15.0,233.0,35.0,30.0,164.0,1267.0,323.0,10.0,0,0,0,0,0,0,233.0,1431.0,55.0,False
56,15.0,633.0,35.0,30.0,0.0,1501.0,161.0,10.0,0,0,0,0,0,0,633.0,1501.0,55.0,False
57,15.0,316.0,20.0,30.0,0.0,164.0,1702.0,10.0,0,0,0,0,0,0,316.0,164.0,55.0,False
58,15.0,303.0,20.0,30.0,351.0,12.0,1837.0,10.0,0,0,0,0,0,0,303.0,363.0,55.0,False
59,15.0,385.0,35.0,30.0,0.0,1434.0,399.0,10.0,0,0,0,0,0,0,385.0,1434.0,55.0,False
