veh,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE
1,0.0,0.0,False,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,10799.0,0.0,0.0,0.0,0.0,10799.0,0.0,0.0
2,14.0,0.0,False,0,0,93.0,15.0,0,151.0,0,945.0,0.0,420.0,1682.0,0,0,0,0,7493.0,1682.0,0.0,945.0,586.0,4280.0,36.93,2.4768
3,17.0,0.0,False,0,0,118.0,15.0,0,319.0,0,1225.0,0.0,510.0,1930.0,0,0,0,0,6682.0,1930.0,0.0,1225.0,844.0,2683.0,36.906,7.229700000000001
4,9.0,0.0,False,0,0,147.0,15.0,0,200.0,0,494.0,0.0,270.0,1302.0,0,0,0,0,8371.0,1302.0,0.0,494.0,485.0,6090.0,24.514,1.584
5,2.0,0.0,False,0,0,88.0,15.0,0,40.0,0,50.0,0.0,60.0,373.0,0,0,0,0,10173.0,373.0,0.0,50.0,115.0,9635.0,3.738,3.5496000000000003
6,13.0,0.0,False,0,0,108.0,15.0,0,157.0,0,985.0,0.0,390.0,1663.0,0,0,0,0,7481.0,1663.0,0.0,985.0,562.0,4271.0,29.267,4.368
7,3.0,0.0,False,0,0,113.0,15.0,0,60.0,0,564.0,3600.0,90.0,651.0,0,0,0,0,0.0,651.0,3600.0,564.0,165.0,-4980.0,13.842,6.140700000000001
8,4.0,0.0,False,0,0,122.0,15.0,0,88.0,0,629.0,3600.0,120.0,669.0,0,0,0,0,0.0,669.0,3600.0,629.0,223.0,-5121.0,21.399,4.3308
9,14.0,0.0,False,0,0,202.0,15.0,0,262.0,0,1354.0,3600.0,418.0,2059.0,0,0,0,0,0.0,2059.0,3600.0,1354.0,695.0,-7708.0,36.205,1.2468
10,8.0,0.0,False,0,0,115.0,15.0,0,350.0,0,941.0,3600.0,270.0,1446.0,0,0,0,0,0.0,1446.0,3600.0,941.0,635.0,-6622.0,40.556,5.7552
11,4.0,0.0,False,0,0,22.0,13.0,0,62.0,0,668.0,3600.0,120.0,612.0,0,0,0,0,0.0,612.0,3600.0,668.0,195.0,-5075.0,14.267,2.9676
12,7.0,0.0,False,0,0,151.0,15.0,0,213.0,0,861.0,0.0,210.0,1321.0,0,0,0,0,8028.0,1321.0,0.0,861.0,438.0,5408.0,19.793,6.841800000000001
13,7.0,0.0,False,0,0,165.0,2.0,0,346.0,0,720.0,3600.0,210.0,876.0,0,0,0,0,0.0,876.0,3600.0,720.0,558.0,-5754.0,20.541,4.2228
14,7.0,0.0,False,0,0,148.0,15.0,0,317.0,0,624.0,0.0,210.0,1239.0,0,0,0,0,8246.0,1239.0,0.0,624.0,542.0,5841.0,21.447,6.0786
15,7.0,0.0,False,0,0,104.0,15.0,0,171.0,0,540.0,0.0,210.0,1236.0,0,0,0,0,8523.0,1236.0,0.0,540.0,396.0,6351.0,23.868,2.4192
16,0.0,0.0,False,0,0,132.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,10667.0,0.0,0.0,0.0,0.0,10667.0,0.0,0.0
17,5.0,0.0,False,0,0,105.0,16.0,0,75.0,0,501.0,0.0,150.0,423.0,0,0,0,0,9529.0,423.0,0.0,501.0,241.0,8364.0,7.884,1.0572
18,9.0,0.0,False,0,0,96.0,25.0,0,122.0,0,432.0,0.0,270.0,1096.0,0,0,0,0,8758.0,1096.0,0.0,432.0,417.0,6813.0,22.72,2.2932
19,4.0,0.0,False,0,0,72.0,15.0,0,167.0,0,351.0,3595.0,120.0,498.0,0,0,0,0,0.0,498.0,3595.0,351.0,302.0,-4746.0,20.681,4.4604
20,4.0,0.0,False,0,0,125.0,15.0,0,156.0,0,549.0,0.0,107.0,578.0,0,0,0,0,9269.0,578.0,0.0,549.0,278.0,7864.0,11.985,4.6476
