veh,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE
1,11.0,0.0,False,0,0,80.0,15.0,0,299.0,0,869.0,0.0,330.0,1170.0,0,0,0,0,8036.0,1170.0,0.0,869.0,644.0,5353.0,16.387,4.1643
2,7.0,0.0,False,0,0,85.0,15.0,0,297.0,0,567.0,3600.0,210.0,959.0,0,0,0,0,0.0,959.0,3600.0,567.0,522.0,-5648.0,27.504,12.447000000000003
3,13.0,0.0,False,0,0,161.0,15.0,0,136.0,0,2054.0,0.0,390.0,1850.0,0,0,0,0,6193.0,1850.0,0.0,2054.0,541.0,1748.0,43.466,3.8016000000000005
4,6.0,0.0,False,0,0,163.0,15.0,0,148.0,0,595.0,3600.0,180.0,1118.0,0,0,0,0,0.0,1118.0,3600.0,595.0,343.0,-5656.0,18.988,2.4888
5,9.0,0.0,False,0,0,71.0,15.0,0,92.0,0,923.0,0.0,270.0,1193.0,0,0,0,0,8235.0,1193.0,0.0,923.0,377.0,5742.0,28.016,7.630199999999999
6,7.0,0.0,False,0,0,123.0,25.0,0,120.0,0,725.0,3600.0,240.0,936.0,0,0,0,0,0.0,936.0,3600.0,725.0,385.0,-5646.0,15.252,0.672
7,16.0,0.0,False,0,0,177.0,5.0,0,178.0,0,1500.0,0.0,452.0,1956.0,0,0,0,0,6531.0,1956.0,0.0,1500.0,635.0,2440.0,43.272,7.544700000000001
8,7.0,0.0,False,0,0,200.0,15.0,0,72.0,0,617.0,0.0,210.0,1099.0,0,0,0,0,8586.0,1099.0,0.0,617.0,297.0,6573.0,20.718,3.4968000000000004
9,9.0,0.0,False,0,0,113.0,15.0,0,115.0,0,635.0,0.0,257.0,1383.0,0,0,0,0,8281.0,1383.0,0.0,635.0,387.0,5876.0,23.906,7.145099999999999
10,15.0,0.0,False,0,0,148.0,17.0,0,253.0,0,1073.0,0.0,423.0,1794.0,0,0,0,0,7091.0,1794.0,0.0,1073.0,693.0,3531.0,35.809,4.2084
11,15.0,0.0,False,0,0,172.0,15.0,0,172.0,0,1471.0,0.0,450.0,1638.0,0,0,0,0,6881.0,1638.0,0.0,1471.0,637.0,3135.0,30.663,6.012
12,14.0,0.0,False,0,0,255.0,15.0,0,166.0,0,1003.0,0.0,420.0,1649.0,0,0,0,0,7291.0,1649.0,0.0,1003.0,601.0,4038.0,37.939,3.4668
13,3.0,0.0,False,0,0,222.0,15.0,0,40.0,0,505.0,0.0,90.0,544.0,0,0,0,0,9383.0,544.0,0.0,505.0,145.0,8189.0,8.083,6.1371
14,5.0,0.0,False,0,0,27.0,15.0,0,261.0,0,337.0,0.0,150.0,658.0,0,0,0,0,9351.0,658.0,0.0,337.0,426.0,7930.0,13.273,5.370300000000001
15,9.0,0.0,False,0,0,121.0,15.0,0,140.0,0,724.0,0.0,270.0,915.0,0,0,0,0,8614.0,915.0,0.0,724.0,425.0,6550.0,11.974,1.86
16,9.0,0.0,False,0,0,250.0,15.0,0,264.0,0,761.0,0.0,270.0,1146.0,0,0,0,0,8093.0,1146.0,0.0,761.0,549.0,5637.0,18.045,2.886
17,2.0,0.0,False,0,0,212.0,15.0,0,212.0,0,499.0,3600.0,60.0,412.0,0,0,0,0,0.0,412.0,3600.0,499.0,287.0,-4798.0,8.839,5.103
18,17.0,0.0,False,0,0,139.0,19.0,0,430.0,0,836.0,0.0,510.0,2609.0,0,0,0,0,6256.0,2609.0,0.0,836.0,959.0,1852.0,51.956,3.4188
19,17.0,0.0,False,0,0,233.0,15.0,0,137.0,0,1341.0,0.0,510.0,1840.0,0,0,0,0,6723.0,1840.0,0.0,1341.0,662.0,2880.0,33.612,2.4936
20,0.0,0.0,False,0,0,97.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,10702.0,0.0,0.0,0.0,0.0,10702.0,0.0,0.0
