veh,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE
1,7.0,0.0,False,0,0,50.0,15.0,0,120.0,0,1039.0,3600.0,240.0,795.0,0,0,0,0,0.0,795.0,3600.0,1039.0,375.0,-5809.0,25.311,6.7908
2,13.0,0.0,False,0,0,143.0,15.0,0,222.0,0,1404.0,3600.0,390.0,1846.0,0,0,0,0,0.0,1846.0,3600.0,1404.0,627.0,-7477.0,44.192,7.544700000000001
3,17.0,0.0,False,0,0,193.0,29.0,0,140.0,0,1483.0,0.0,510.0,2386.0,0,0,0,0,6058.0,2386.0,0.0,1483.0,679.0,1510.0,52.722,7.033500000000001
4,5.0,0.0,False,0,0,242.0,15.0,0,100.0,0,935.0,3600.0,150.0,612.0,0,0,0,0,0.0,612.0,3600.0,935.0,265.0,-5412.0,10.066,2.2476
5,10.0,0.0,False,0,0,81.0,15.0,0,121.0,0,1186.0,0.0,300.0,1084.0,0,0,0,0,8012.0,1084.0,0.0,1186.0,436.0,5306.0,25.803,3.6135000000000006
6,7.0,0.0,False,0,0,230.0,15.0,0,220.0,0,659.0,0.0,210.0,1136.0,0,0,0,0,8329.0,1136.0,0.0,659.0,445.0,6089.0,21.027,7.630199999999999
7,10.0,0.0,False,0,0,183.0,15.0,0,80.0,0,1139.0,0.0,300.0,1090.0,0,0,0,0,7992.0,1090.0,0.0,1139.0,395.0,5368.0,23.647,2.19
8,12.0,0.0,False,0,0,167.0,5.0,0,130.0,0,1106.0,0.0,360.0,1108.0,0,0,0,0,7923.0,1108.0,0.0,1106.0,495.0,5214.0,21.457,2.1564
9,2.0,0.0,False,0,0,212.0,15.0,0,212.0,0,462.0,3600.0,60.0,412.0,0,0,0,0,0.0,412.0,3600.0,462.0,287.0,-4761.0,8.839,5.103
10,10.0,0.0,False,0,0,123.0,15.0,0,167.0,0,544.0,0.0,300.0,1464.0,0,0,0,0,8186.0,1464.0,0.0,544.0,482.0,5696.0,24.724,7.145099999999999
11,5.0,0.0,False,0,0,27.0,15.0,0,301.0,0,277.0,0.0,150.0,658.0,0,0,0,0,9371.0,658.0,0.0,277.0,466.0,7970.0,13.273,5.370300000000001
12,8.0,0.0,False,0,0,91.0,21.0,0,109.0,0,1042.0,3600.0,240.0,1042.0,0,0,0,0,0.0,1042.0,3600.0,1042.0,370.0,-6054.0,27.7,2.9844
13,9.0,0.0,False,0,0,210.0,15.0,0,120.0,0,733.0,0.0,270.0,1358.0,0,0,0,0,8093.0,1358.0,0.0,733.0,405.0,5597.0,24.334,2.886
14,7.0,0.0,False,0,0,89.0,15.0,0,192.0,0,517.0,3600.0,213.0,1016.0,0,0,0,0,0.0,1016.0,3600.0,517.0,420.0,-5553.0,25.773,5.886
15,14.0,0.0,False,0,0,295.0,15.0,0,348.0,0,836.0,0.0,420.0,1837.0,0,0,0,0,7048.0,1837.0,0.0,836.0,783.0,3592.0,23.274,2.4936
16,8.0,0.0,False,0,0,151.0,15.0,0,103.0,0,543.0,0.0,240.0,1221.0,0,0,0,0,8526.0,1221.0,0.0,543.0,358.0,6404.0,18.946,2.4888
17,6.0,0.0,False,0,0,98.0,15.0,0,153.0,0,619.0,0.0,153.0,972.0,0,0,0,0,8789.0,972.0,0.0,619.0,321.0,6877.0,22.734,5.2956
18,0.0,0.0,False,0,0,97.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,10702.0,0.0,0.0,0.0,0.0,10702.0,0.0,0.0
19,7.0,0.0,False,0,0,85.0,15.0,0,314.0,0,533.0,3600.0,210.0,959.0,0,0,0,0,0.0,959.0,3600.0,533.0,539.0,-5631.0,27.504,12.447000000000003
20,8.0,0.0,False,0,0,152.0,15.0,0,139.0,0,492.0,0.0,240.0,819.0,0,0,0,0,8942.0,819.0,0.0,492.0,394.0,7237.0,12.893,2.1588000000000003
